id,Barrio Name,barrio code,distrito_id
506_1_01_01_01,Amón,01,506_1_01_01
506_1_01_01_02,Aranjuez,02,506_1_01_01
506_1_01_01_03,California (parte),03,506_1_01_01
506_1_01_01_04,Carmen,04,506_1_01_01
506_1_01_01_05,Empalme,05,506_1_01_01
506_1_01_01_06,Escalante,06,506_1_01_01
506_1_01_01_07,Otoya,07,506_1_01_01
506_1_01_02_01,Bajos de la Unión,01,506_1_01_02
506_1_01_02_02,Claret,02,506_1_01_02
506_1_01_02_03,Cocacola,03,506_1_01_02
506_1_01_02_04,Iglesias Flores,04,506_1_01_02
506_1_01_02_05,Mantica,05,506_1_01_02
506_1_01_02_06,México,06,506_1_01_02
506_1_01_02_07,Paso de la Vaca,07,506_1_01_02
506_1_01_02_08,Pitahaya,08,506_1_01_02
506_1_01_03_01,Almendares,01,506_1_01_03
506_1_01_03_02,Ángeles,02,506_1_01_03
506_1_01_03_03,Bolívar,03,506_1_01_03
506_1_01_03_04,Carit,04,506_1_01_03
506_1_01_03_05,Colón (parte),05,506_1_01_03
506_1_01_03_06,Corazón de Jesús,06,506_1_01_03
506_1_01_03_07,Cristo Rey,07,506_1_01_03
506_1_01_03_08,Cuba,08,506_1_01_03
506_1_01_03_09,Dolorosa (parte),09,506_1_01_03
506_1_01_03_10,Merced,10,506_1_01_03
506_1_01_03_11,Pacífico (parte),11,506_1_01_03
506_1_01_03_12,Pinos,12,506_1_01_03
506_1_01_03_13,Salubridad,13,506_1_01_03
506_1_01_03_14,San Bosco,14,506_1_01_03
506_1_01_03_15,San Francisco,15,506_1_01_03
506_1_01_03_16,Santa Lucía,16,506_1_01_03
506_1_01_03_17,Silos,17,506_1_01_03
506_1_01_04_01,Bellavista,01,506_1_01_04
506_1_01_04_02,California (parte),02,506_1_01_04
506_1_01_04_03,Carlos María Jiménez,03,506_1_01_04
506_1_01_04_04,Dolorosa (parte),04,506_1_01_04
506_1_01_04_05,Dos Pinos,05,506_1_01_04
506_1_01_04_06,Francisco Peralta (parte),06,506_1_01_04
506_1_01_04_07,González Lahmann,07,506_1_01_04
506_1_01_04_08,González Víquez,08,506_1_01_04
506_1_01_04_09,Güell,09,506_1_01_04
506_1_01_04_10,La Cruz,10,506_1_01_04
506_1_01_04_11,Lomas de Ocloro,11,506_1_01_04
506_1_01_04_12,Luján,12,506_1_01_04
506_1_01_04_13,Milflor,13,506_1_01_04
506_1_01_04_14,Naciones Unidas,14,506_1_01_04
506_1_01_04_15,Pacífico (parte),15,506_1_01_04
506_1_01_04_16,San Cayetano (parte),16,506_1_01_04
506_1_01_04_17,Soledad,17,506_1_01_04
506_1_01_04_18,Tabacalera,18,506_1_01_04
506_1_01_04_19,Vasconia,19,506_1_01_04
506_1_01_05_01,Alborada,01,506_1_01_05
506_1_01_05_02,Calderón Muñoz,02,506_1_01_05
506_1_01_05_03,Cerrito,03,506_1_01_05
506_1_01_05_04,Córdoba,04,506_1_01_05
506_1_01_05_05,Gloria,05,506_1_01_05
506_1_01_05_06,Jardín,06,506_1_01_05
506_1_01_05_07,Luisas,07,506_1_01_05
506_1_01_05_08,Mangos,08,506_1_01_05
506_1_01_05_09,Montealegre,09,506_1_01_05
506_1_01_05_10,Moreno Cañas,10,506_1_01_05
506_1_01_05_11,Quesada Durán,11,506_1_01_05
506_1_01_05_12,San Dimas,12,506_1_01_05
506_1_01_05_13,San Gerardo (parte),13,506_1_01_05
506_1_01_05_14,Trébol,14,506_1_01_05
506_1_01_05_15,Ujarrás,15,506_1_01_05
506_1_01_05_16,Vista Hermosa,16,506_1_01_05
506_1_01_05_17,Yoses Sur,17,506_1_01_05
506_1_01_05_18,Zapote (centro),18,506_1_01_05
506_1_01_06_01,Ahogados (parte),01,506_1_01_06
506_1_01_06_02,Bosque,02,506_1_01_06
506_1_01_06_03,Cabañas,03,506_1_01_06
506_1_01_06_04,Camelias,04,506_1_01_06
506_1_01_06_05,Coopeguaria,05,506_1_01_06
506_1_01_06_06,Faro,06,506_1_01_06
506_1_01_06_07,Fátima,07,506_1_01_06
506_1_01_06_08,Hispano,08,506_1_01_06
506_1_01_06_09,I Griega,09,506_1_01_06
506_1_01_06_10,Lincoln,10,506_1_01_06
506_1_01_06_11,Lomas de San Francisco,11,506_1_01_06
506_1_01_06_12,Maalot,12,506_1_01_06
