id,name,code,canton_id:id
506_1_01_01,Carmen,01,506_1_01
506_1_01_02,Merced,02,506_1_01
506_1_01_03,Hospital,03,506_1_01
506_1_01_04,Catedral,04,506_1_01
506_1_01_05,Zapote,05,506_1_01
506_1_01_06,San Francisco de Dos Ríos,06,506_1_01
506_1_01_07,Uruca,07,506_1_01
506_1_01_08,Mata Redonda,08,506_1_01
506_1_01_09,Pavas,09,506_1_01
506_1_01_10,Hatillo,10,506_1_01
506_1_01_11,San Sebástian,11,506_1_01
506_1_02_01,Escazú,01,506_1_02
506_1_02_02,San Antonio,02,506_1_02
506_1_02_03,San Rafael,03,506_1_02
506_1_03_01,Desamparados,01,506_1_03
506_1_03_02,San Miguel,02,506_1_03
506_1_03_03,San Juan de Dios,03,506_1_03
506_1_03_04,San Rafaél Arriba,04,506_1_03
506_1_03_05,San Antonio,05,506_1_03
506_1_03_06,Frailes,06,506_1_03
506_1_03_07,Patarra,07,506_1_03
506_1_03_08,San Cristóbal,08,506_1_03
506_1_03_09,Rosario,09,506_1_03
506_1_03_10,Damas,10,506_1_03
506_1_03_11,San Rafaél Abajo,11,506_1_03
506_1_03_12,Gravilias,12,506_1_03
506_1_03_13,Los Guido,13,506_1_03
506_1_04_01,Santiago,01,506_1_04
506_1_04_02,Mercedes Sur,02,506_1_04
506_1_04_03,Barbacoas,03,506_1_04
506_1_04_04,Grifo Alto,04,506_1_04
506_1_04_05,San Rafaél,05,506_1_04
506_1_04_06,Candelarita,06,506_1_04
506_1_04_07,Desamparaditos,07,506_1_04
506_1_04_08,San Antonio,08,506_1_04
506_1_04_09,Chires,09,506_1_04
506_1_05_01,San Marcos,01,506_1_05
506_1_05_02,San Lorenzo,02,506_1_05
506_1_05_03,San Carlos,03,506_1_05
506_1_06_01,Aserrí,01,506_1_06
506_1_06_02,Tarbaca,02,506_1_06
506_1_06_03,Vuelta del Jorco,03,506_1_06
506_1_06_04,San Gabriel,04,506_1_06
506_1_06_05,Legua,05,506_1_06
506_1_06_06,Monterrey,06,506_1_06
506_1_06_07,Salitrillos,07,506_1_06
506_1_07_01,Mora,01,506_1_07
506_1_07_02,Guayabo,02,506_1_07
506_1_07_03,Tabarcia,03,506_1_07
506_1_07_04,Piedras Negras,04,506_1_07
506_1_07_05,Picagres,05,506_1_07
506_1_07_06,Jaris,06,506_1_07
506_1_07_07,Quitirrisi,07,506_1_07
506_1_08_01,Guadalupe,01,506_1_08
506_1_08_02,San Francisco,02,506_1_08
506_1_08_03,Calle Blancos,03,506_1_08
506_1_08_04,Mata de Platano,04,506_1_08
506_1_08_05,Ipis,05,506_1_08
506_1_08_06,Rancho Redondo,06,506_1_08
506_1_08_07,Purral,07,506_1_08
506_1_09_01,Santa Ana,01,506_1_09
506_1_09_02,Salitral,02,506_1_09
506_1_09_03,Pozos,03,506_1_09
506_1_09_04,Uruca,04,506_1_09
506_1_09_05,Piedades,05,506_1_09
506_1_09_06,Piedades,06,506_1_09
506_1_10_01,Alajuelita,01,506_1_10
506_1_10_02,San Josecito,02,506_1_10
506_1_10_03,San Antonio,03,506_1_10
506_1_10_04,Concepción,04,506_1_10
506_1_10_05,San Felipe,05,506_1_10
506_1_11_01,San Isidro,01,506_1_11
506_1_11_02,San Rafaél,02,506_1_11
506_1_11_03,Dulce Nombre de Jesús,03,506_1_11
506_1_11_04,Patalillo,04,506_1_11
506_1_11_05,Cascajal,05,506_1_11
506_1_12_01,San Ignacio,01,506_1_12
506_1_12_02,Guaitil,02,506_1_12
506_1_12_03,Palmichal,03,506_1_12
506_1_12_04,Cangrejal,04,506_1_12
506_1_12_05,Sabanillas,05,506_1_12
506_1_13_01,San Juan,01,506_1_13
506_1_13_02,Cinco Esquinas,02,506_1_13
506_1_13_03,Anselmo Llorente,03,506_1_13
506_1_13_04,León XIII,04,506_1_13
506_1_13_05,Colima,05,506_1_13
506_1_14_01,San Vicente,01,506_1_14
506_1_14_02,San Jerónimo,02,506_1_14
506_1_14_03,Trinidad,03,506_1_14
506_1_15_01,San Pedro,01,506_1_15
506_1_15_02,Sabanilla,02,506_1_15
506_1_15_03,Betania,03,506_1_15
506_1_15_04,San Rafaél,04,506_1_15
506_1_16_01,San Pablo,01,506_1_16
506_1_16_02,San Pedro,02,506_1_16
506_1_16_03,San Juan de Mata,03,506_1_16
506_1_16_04,San Luis,04,506_1_16
506_1_16_05,Carara,05,506_1_16
506_1_17_01,Santa María,01,506_1_17
506_1_17_02,Jardín,02,506_1_17
506_1_17_03,Copey,03,506_1_17
506_1_18_01,Curridabat,01,506_1_18
506_1_18_02,Granadilla,02,506_1_18
506_1_18_03,Sánchez,03,506_1_18
506_1_18_04,Tirrases,04,506_1_18
506_1_19_01,San Isidro de El General,01,506_1_19
506_1_19_02,General,02,506_1_19
506_1_19_03,Daniel Flores,03,506_1_19
506_1_19_04,Rivas,04,506_1_19
506_1_19_05,San Pedro,05,506_1_19
506_1_19_06,Platanares,06,506_1_19
506_1_19_07,Pejibaye,07,506_1_19
506_1_19_08,Cajón,08,506_1_19
506_1_19_09,Barú,09,506_1_19
506_1_19_10,Río Nuevo,10,506_1_19
506_1_19_11,Páramo,11,506_1_19
506_1_20_01,San Pablo,01,506_1_20
506_1_20_02,San Andrés,02,506_1_20
506_1_20_03,Llano Bonito,03,506_1_20
506_1_20_04,San Isidro,04,506_1_20
506_1_20_05,Santa Cruz,05,506_1_20
506_1_20_06,San Antonio,06,506_1_20
506_2_01_01,ALAJUELA,01,506_2_01
506_2_01_02,SAN JOSE,02,506_2_01
506_2_01_03,CARRIZAL,03,506_2_01
506_2_01_04,SAN ANTONIO,04,506_2_01
506_2_01_05,GUACIMA,05,506_2_01
506_2_01_06,SAN ISIDRO,06,506_2_01
506_2_01_07,SABANILLA,07,506_2_01
506_2_01_08,SAN RAFAEL,08,506_2_01
506_2_01_09,RIO SEGUNDO,09,506_2_01
506_2_01_10,DESAMPARADOS,10,506_2_01
506_2_01_11,TURRUCARES,11,506_2_01
506_2_01_12,TAMBOR,12,506_2_01
506_2_01_13,GARITA,13,506_2_01
506_2_01_14,SAN MIGUEL DE SARAPIQUI,14,506_2_01
506_2_02_01,SAN RAMON,01,506_2_02
506_2_02_02,SANTIAGO,02,506_2_02
506_2_02_03,SAN JUAN,03,506_2_02
506_2_02_04,PIEDADES NORTE,04,506_2_02
506_2_02_05,PIEDADES SUR,05,506_2_02
506_2_02_06,SAN RAFAEL,06,506_2_02
506_2_02_07,SAN ISIDRO,07,506_2_02
506_2_02_08,ANGELES,08,506_2_02
506_2_02_09,ALFARO,09,506_2_02
506_2_02_10,VOLIO,10,506_2_02
506_2_02_11,CONCEPCION,11,506_2_02
506_2_02_12,ZAPOTAL,12,506_2_02
506_2_02_13,SAN ISIDRO DE PEÑAS BLANCAS,13,506_2_02
506_2_02_14,SAN LORENZO,14,506_2_02
